ID,disgust__value__abs_energy,fear__value__abs_energy,happiness__value__abs_energy,sadness__value__abs_energy,disgust__value__kurtosis,fear__value__kurtosis,happiness__value__kurtosis,sadness__value__kurtosis,disgust__value__skewness,fear__value__skewness,happiness__value__skewness,sadness__value__skewness,disgust__value__mean,fear__value__mean,happiness__value__mean,sadness__value__mean,disgust__value__standard_deviation,fear__value__standard_deviation,happiness__value__standard_deviation,sadness__value__standard_deviation,disgust__value__variation_coefficient,fear__value__variation_coefficient,happiness__value__variation_coefficient,sadness__value__variation_coefficient,disgust__value__median,fear__value__median,happiness__value__median,sadness__value__median,disgust__value__minimum,fear__value__minimum,happiness__value__minimum,sadness__value__minimum,disgust__value__maximum,fear__value__maximum,happiness__value__maximum,sadness__value__maximum,disgust__value__mean_change,fear__value__mean_change,happiness__value__mean_change,sadness__value__mean_change,disgust__value__mean_abs_change,fear__value__mean_abs_change,happiness__value__mean_abs_change,sadness__value__mean_abs_change,disgust__value__number_peaks__n_4,fear__value__number_peaks__n_4,happiness__value__number_peaks__n_4,sadness__value__number_peaks__n_4,disgust__value__sum_values,fear__value__sum_values,happiness__value__sum_values,sadness__value__sum_values,disgust__value__cid_ce__normalize_True,fear__value__cid_ce__normalize_True,happiness__value__cid_ce__normalize_True,sadness__value__cid_ce__normalize_True,disgust__value__sample_entropy,fear__value__sample_entropy,happiness__value__sample_entropy,sadness__value__sample_entropy,disgust__value__approximate_entropy__m_5__r_0.1,fear__value__approximate_entropy__m_5__r_0.1,happiness__value__approximate_entropy__m_5__r_0.1,sadness__value__approximate_entropy__m_5__r_0.1,"disgust__value__fft_coefficient__attr_""abs""__coeff_1","fear__value__fft_coefficient__attr_""abs""__coeff_1","happiness__value__fft_coefficient__attr_""abs""__coeff_1","sadness__value__fft_coefficient__attr_""abs""__coeff_1","disgust__value__fft_coefficient__attr_""real""__coeff_1","fear__value__fft_coefficient__attr_""real""__coeff_1","happiness__value__fft_coefficient__attr_""real""__coeff_1","sadness__value__fft_coefficient__attr_""real""__coeff_1","disgust__value__fft_coefficient__attr_""imag""__coeff_1","fear__value__fft_coefficient__attr_""imag""__coeff_1","happiness__value__fft_coefficient__attr_""imag""__coeff_1","sadness__value__fft_coefficient__attr_""imag""__coeff_1",disgust__value__ar_coefficient__coeff_1__k_5,fear__value__ar_coefficient__coeff_1__k_5,happiness__value__ar_coefficient__coeff_1__k_5,sadness__value__ar_coefficient__coeff_1__k_5,disgust__value__autocorrelation__lag_5,fear__value__autocorrelation__lag_5,happiness__value__autocorrelation__lag_5,sadness__value__autocorrelation__lag_5,"disgust__value__linear_trend__attr_""rvalue""","fear__value__linear_trend__attr_""rvalue""","happiness__value__linear_trend__attr_""rvalue""","sadness__value__linear_trend__attr_""rvalue""","disgust__value__linear_trend__attr_""intercept""","fear__value__linear_trend__attr_""intercept""","happiness__value__linear_trend__attr_""intercept""","sadness__value__linear_trend__attr_""intercept""","disgust__value__linear_trend__attr_""slope""","fear__value__linear_trend__attr_""slope""","happiness__value__linear_trend__attr_""slope""","sadness__value__linear_trend__attr_""slope""",self-esteem
3,167.404,11871.0887,141.9746,7358.867700000001,-0.3232070402280467,-0.3082445576677517,1.6070340804226473,0.28494816807613566,0.7216959797223839,0.1373942238902913,1.1295105058524317,0.1168480970788708,0.3165,3.38971,0.32508000000000004,2.6955699999999996,0.2592908598466209,0.6172153723782323,0.19051927356569465,0.30458180362588966,0.8192444228961167,0.182085007973612,0.5860688863224272,0.1129934684040443,0.26,3.38,0.29,2.7,0.0,1.9100000000000001,0.0,1.85,1.12,5.35,1.06,3.54,0.00012012012012012012,4.004004004004007e-05,0.00038038038038038034,-0.0013513513513513514,0.0778978978978979,0.17155155155155155,0.04954954954954955,0.08477477477477478,75.0,73.0,63.0,75.0,316.5,3389.71,325.08000000000004,2695.5699999999997,12.798925127871476,10.999745525944942,10.7024309613808,11.08906915031663,0.696660340400109,1.0509445412282803,0.9564322554055742,1.021895023301877,0.10664064123654526,0.043399801886053524,0.026253642040690472,0.05888908639331181,31.124294137446114,163.80303914927492,38.38889234951093,43.38440917925935,30.415831632194084,156.62528040711442,30.73712317354321,43.37746665459025,-6.602944167285108,-47.95786871757002,-22.99861549825927,-0.7761098268374419,1.6028561225288491,1.5503762114898694,1.6826091073912215,1.4822913863031242,0.2979473441756896,0.47427624757955467,0.3877488428761277,0.47472573606262125,-0.09685509457954262,-0.25832842757329144,-0.24002989435687797,-0.15336300391384913,0.3599546253746254,3.6655995604395604,0.404208071928072,2.7763959640359634,-8.699624699624703e-05,-0.0005523314523314521,-0.00015841455841455847,-0.00016181374181374185,28
4,604.7697000000001,36972.436799999996,766.2402999999999,7503.6937,0.05913607014118938,0.2570064335931872,-0.32066294435055065,-0.4030815464438091,0.6204966132636229,0.6136554756243304,0.3106052987551452,0.2608128091851515,0.67769,6.05574,0.78199,2.7119700000000004,0.38145243989257693,0.5481330608529283,0.39335980971624435,0.38589171939807154,0.5628715782918103,0.0905146292365472,0.5030240920168344,0.14229203103208055,0.64,5.99,0.77,2.69,0.0,4.860000000000001,0.0,1.7200000000000002,2.09,7.980000000000001,1.9500000000000002,3.78,0.0005205205205205206,-0.0009009009009008995,0.001001001001001001,-0.0007507507507507507,0.0937937937937938,0.14656656656656658,0.050870870870870874,0.08637637637637637,71.0,82.0,62.0,75.0,677.69,6055.74,781.99,2711.9700000000003,10.24630479682057,10.752146014335112,5.464846894341827,8.956691451983968,0.9022560091356743,1.1226873090978553,0.5523690261866786,0.9435380874252461,0.06868772982722149,0.0320973369914439,0.2421101035530988,0.03459222318601096,95.91072596612062,74.72369483500935,145.98410666049722,105.5128020563495,-42.480107689518384,58.4789842875618,0.24332137818398908,21.425422436118826,85.99016110018172,-46.517082523420385,145.98390388042904,-103.31458111620182,1.6600143150486546,1.405026093457483,1.622259482602443,1.5236733555948208,0.5415516953022512,0.5562634284953129,0.8408865195876588,0.6610736287596112,0.4052818338615811,-0.13808204248638292,0.61966692838744,-0.5618764687550014,0.41018995004995007,6.186703276723277,0.36022101898101894,3.0871439160839165,0.0005355356355356356,-0.0002621887421887422,0.0008443823443823444,-0.000751098931098931,28
5,1953.3289,5191.7566,565.0896,9450.7523,0.39359945448159106,0.36526138055443136,2.565716426547714,-0.15732267031853686,0.6936391670978848,0.5465754554499624,1.3623277771782312,-0.34975813307046083,1.29627,2.2502400000000002,0.63974,3.0540299999999996,0.5225064469458727,0.35801751688988626,0.394743375371899,0.35164336919669054,0.4030845787882715,0.15910192552344915,0.6170371953792151,0.11514077111118443,1.21,2.205,0.56,3.06,0.02,1.1400000000000001,0.02,1.96,3.08,3.4800000000000004,2.46,3.95,-0.00010010010010010008,0.0008908908908908905,-0.0015815815815815818,0.0015115115115115112,0.12914914914914913,0.09532532532532531,0.07887887887887886,0.09422422422422422,65.0,75.0,68.0,72.0,1296.27,2250.2400000000002,639.74,3054.0299999999997,10.529665066432205,10.994160752284808,8.47846878360547,10.64478228826845,0.8051227594595365,0.9676386371413935,0.7308039790723341,0.9358987214391963,0.13370583316014972,0.03743575414641942,0.13086721213995478,0.05031568227315386,96.37859810562755,19.533637920363073,80.11595787410656,49.50758646383436,-51.61522636223637,15.50041680108124,53.112152376082165,-32.02891629572324,81.39227592579759,-11.886971413972724,-59.9805466469375,-37.75115413329226,1.759868883528948,1.4289990191967228,1.5987876351080308,1.5594673892813389,0.41535131959218397,0.5199620613891688,0.6005371380883576,0.4727284640141586,0.1534237082956348,0.005903104488982494,-0.4096780991786981,-0.021162164569981278,1.1575591408591408,2.246583116883117,0.9195633366633367,3.0669062337662334,0.00027769941769941766,7.32108732108729e-06,-0.0005602068802068803,-2.577824577824577e-05,27
7,4834.676299999999,13516.5847,834.2877000000001,5492.8012,-0.2577933261559644,0.5684523037995297,1.9690238331994476,-0.12998525772777558,-0.10104514136818184,0.8533340796850426,1.1306920444919804,0.633994464169054,2.18419,3.6536099999999996,0.8391900000000001,2.29738,0.252963127550242,0.40953469682067234,0.3606214689948451,0.4635151945729503,0.11581553232559529,0.11209042476363716,0.42972565091915427,0.20175817434336082,2.2,3.58,0.79,2.2199999999999998,1.48,2.85,0.08,1.33,2.91,5.26,2.19,3.75,-2.0020020020019593e-05,0.0005905905905905896,0.0015815815815815816,-0.000800800800800801,0.06990990990990992,0.0922022022022022,0.05233233233233233,0.07025025025025025,81.0,80.0,64.0,76.0,2184.19,3653.6099999999997,839.19,2297.38,11.299082365370769,9.10920657872681,5.862892064988929,6.066858460817063,0.9984170053404261,0.8580663280038084,0.5998896870733625,0.638037308359728,0.033201760233745325,0.10872006124873401,0.23219731136611443,0.22343896867301272,31.816452800051877,149.6486715655477,97.91410314875125,145.321764812673,-30.9534632216252,145.96408146675492,67.74148849216391,144.8666435299531,7.360012456879755,33.00320928182131,70.69838988470902,-11.492211303110299,1.453078496171423,1.4266105793846526,1.5034733201948476,1.4990139744278779,0.5290496927364061,0.710396529074662,0.831648850728047,0.8426023347916479,-0.16902159975950526,-0.16641237958127836,0.6051325000740276,-0.36935607619037025,2.258171948051948,3.7715341258741253,0.461593126873127,2.5936144455544454,-0.0001481120081120081,-0.000236084336084336,0.000755949695949696,-0.000593061953061953,26
8,5259.952300000001,4130.1336,12279.325499999999,3188.2787,1.1445728958270807,-0.20564605499592803,6.878149284684948,-0.1576307265953676,0.5098329009008674,-0.03245266604958297,2.162057325963369,-0.4306645828516765,2.2523299999999997,1.99034,3.43025,1.75081,0.4323908776789816,0.4107070542369585,0.7160380140048431,0.3506323486217437,0.19197492271513572,0.2063501985776091,0.20874222403756085,0.20026864629613933,2.23,1.9899999999999998,3.31,1.7850000000000001,1.1800000000000002,0.72,2.08,0.73,3.9299999999999997,3.4299999999999997,6.8100000000000005,2.66,0.00037037037037037024,0.0006306306306306305,0.0016316316316316315,-0.00021021021021021017,0.10085085085085085,0.1240940940940941,0.07934934934934935,0.07964964964964966,75.0,72.0,55.0,70.0,2252.33,1990.34,3430.25,1750.81,9.364183512612179,12.20590907875169,4.655495374124031,9.072870510575198,0.9052336630423025,1.1373064170213283,0.4571555855564961,0.8883002160329458,0.0838785145745451,0.03929455700909035,0.4313234896489302,0.052398988128551593,45.67290129247583,82.88510595589135,208.64042936230322,16.684833358950623,15.912053220627534,78.8265401193712,143.04122324351795,10.22257409112456,42.811452612311086,-25.61869165528359,151.88823923360326,-13.186456808688998,1.6016932090050247,1.436732882341088,1.7798057983716118,1.4623643447559855,0.6415088984171857,0.4333573058046715,0.8573187542242622,0.6676040562345905,0.13779967485373606,-0.05495329808958654,0.4444129542417113,-0.08869040042629651,2.149231808191808,2.0293928071928073,2.8796336263736264,1.804619000999001,0.00020640278640278632,-7.818379818379816e-05,0.0011023350823350824,-0.00010772572772572772,28
9,1409.8935,21253.411099999998,1300.6925,8511.145700000001,-0.331688254901938,-0.493685522736389,0.2423023133798261,0.29692859479952904,-0.1408231064200709,0.06499461618541438,0.5710476069687963,-0.36918909380410436,1.15683,4.56209,1.08079,2.88971,0.26765248196121777,0.6638869872952775,0.36412288571305157,0.4009012545502944,0.23136716886769687,0.14552255376270032,0.3369043807891002,0.13873407869658008,1.17,4.550000000000001,1.04,2.91,0.29,2.71,0.37,1.62,1.8900000000000001,6.36,2.49,4.05,-0.0006506506506506506,-0.0009509509509509507,-3.0030030030030056e-05,-0.00035035035035035043,0.07204204204204204,0.185995995995996,0.07532532532532532,0.10315315315315314,71.0,75.0,71.0,74.0,1156.83,4562.09,1080.79,2889.71,11.024540653796342,11.281940130417071,8.499644779428506,10.576376347643363,1.0372530420362294,1.0648032107819545,0.815340069018178,0.953747620599786,0.02706363243649612,0.02607355897468988,0.08586271266135626,0.08729312132315581,88.35804423959097,197.6685368733878,140.8605323372377,123.29680551170004,-30.574343057711737,-152.87122856863456,-2.8042442560546936,-65.7556816262948,82.89965939878685,-125.31256100480175,140.83261619554744,-104.2990536066907,1.4177311965716934,1.4767316240090604,1.435948527896577,1.3969471198378085,0.5808170996351956,0.47759921254884713,0.7372187807938462,0.5640764524126495,0.37588227223483833,-0.21760153332159418,0.4677470460917725,-0.3109900065062485,0.9827497702297703,4.812056863136863,0.7860864535464535,3.10543982017982,0.0003485089685089685,-0.0005004341604341605,0.0005899970899970901,-0.00043189153189153196,32
10,6952.3887,9953.1375,2281.6057,7541.6116999999995,0.174896082235676,1.3256566993261507,1.2693892632088812,0.6441817722449872,-0.43328050220405967,0.6218265181443678,1.0193928539786001,0.3612688213155531,2.61239,3.1068500000000006,1.47881,2.71697,0.3575013117458452,0.5482887719988436,0.3077770035269042,0.39960695577029187,0.13684836940343717,0.1764773877074347,0.2081247783872872,0.1470781627218158,2.62,3.105,1.4400000000000002,2.7,1.22,1.76,0.89,1.64,3.46,5.48,2.61,4.25,1.0010010010009796e-05,-0.0008408408408408411,-0.0001701701701701701,-0.0012712712712712713,0.10035035035035034,0.1261661661661662,0.06533533533533534,0.09236236236236237,74.0,74.0,65.0,69.0,2612.39,3106.8500000000004,1478.81,2716.97,11.467977695154394,9.309746450595837,9.173474500940909,9.313754149136798,0.9732186405420352,0.933282767132537,0.6994567687889125,0.9510135520825052,0.03720705458542817,0.07595738712194944,0.22722507411683956,0.04469422059243833,56.99080136299442,24.091620388937162,45.58137345440997,6.644073200192362,52.20204679769439,23.88292787374992,22.98496331365711,-2.2980849360292726,22.86695760540983,3.1641632609446524,39.36182246111359,-6.233980615650783,1.5453761131930182,1.5155696970563084,1.6197570005715423,1.554118987137258,0.4525866811163315,0.6494141879846639,0.5725045072219052,0.5750727431085003,0.09583946950725265,-0.07072320615678539,0.1695006726994308,-0.1887826743127887,2.5531045154845153,3.1739461538461544,1.388541978021978,2.8475033566433563,0.00011868965868965874,-0.00013432663432663437,0.0001807167607167607,-0.0002613280413280413,32
11,8959.255399999998,23826.8702,10169.7311,6931.266,-0.548880422627104,0.8217715244454689,-0.6678591586200175,-0.3151955375783335,-0.08118089852364753,-0.48808441993742796,0.3878201495463229,-0.24863087362237635,2.9307,4.82086,3.05639,2.5728,0.6084841082559183,0.7656233149532478,0.910061134155283,0.5585393092701713,0.20762415404371592,0.15881467517273842,0.29775687466432066,0.21709394794394093,2.9450000000000003,4.870000000000001,2.9450000000000003,2.6,1.1,1.9,1.31,0.97,4.58,7.07,5.220000000000001,3.84,-0.0001701701701701701,-0.0003803803803803803,-0.000390390390390391,-0.0008208208208208209,0.13108108108108107,0.20132132132132133,0.12201201201201203,0.11425425425425427,70.0,73.0,55.0,69.0,2930.7,4820.86,3056.39,2572.8,8.896504435334945,10.533364262394445,5.515489070378236,8.343037070011325,0.7880257794226591,1.0001536065297238,0.5485425868462407,0.7585467144340877,0.1456484746549105,0.04555099345447999,0.3499311981045068,0.10928700769024147,111.01488207325757,60.180561690813406,252.27234313390355,73.65361804506054,92.22669912329393,-19.495583481309197,226.62498337656172,14.878223872718937,61.79433639550392,-56.935245939093846,110.8262244229365,-72.1352473172507,1.7600528039742571,1.5365535681795994,1.8847995701087639,1.6938893213663424,0.6046381396530214,0.4839267124905146,0.7768755657690691,0.627415546912115,0.0010307755675656623,-0.10616479274658508,0.013565944857239179,-0.26104396005711555,2.929614725274725,4.961504255744256,3.035027752247752,2.825086333666334,2.1727221727221163e-06,-0.00028157008157008156,4.276726276726284e-05,-0.0005050777450777453,40
12,1183.027,2674.3637,4928.9185,1399.154,-0.2860793782658235,-0.4872662899960516,-0.49898338673510745,0.2219068504165569,0.3744803754784787,0.3129273280680227,0.4702498451702205,0.3454254467663989,0.9567599999999999,1.5543099999999999,2.04813,1.1489800000000001,0.5173367398513274,0.5084133396164975,0.85678585603405,0.28106753565646814,0.5407173584298335,0.32709905978633447,0.418325914875545,0.24462352317400488,0.93,1.505,2.0300000000000002,1.1300000000000001,0.0,0.39,0.47,0.43,2.74,3.23,4.67,2.0700000000000003,0.0006106106106106106,0.0003803803803803805,0.00024024024024024023,-0.0007907907907907908,0.08471471471471471,0.11887887887887888,0.0828028028028028,0.05986986986986987,63.0,74.0,64.0,63.0,956.76,1554.31,2048.13,1148.98,6.986555313275443,9.509566740643999,4.064407440672812,8.770043965208467,0.6521257339456619,0.887496236841657,0.36823117239362785,0.8459774957748006,0.2360720125052147,0.08962250200771305,0.3935461936393603,0.05982910427545729,248.9353520172706,205.02709600374934,497.21808010693184,110.65008713881599,-84.86623597361752,146.11271847284388,-105.67313306444231,49.82918469305519,234.0225020711314,-143.83039872087585,485.85904142412335,-98.79521312620852,1.7017844346848972,1.4855863057867085,1.7702556127067448,1.431668900914505,0.7803056634983131,0.6601329967255309,0.9168353581129803,0.7058263452454798,0.565693904703662,-0.32831380653585507,0.6838102285639677,-0.557823141357311,0.45037462537462536,1.8431334265734265,1.0343721878121876,1.4202698501498503,0.0010137845337845337,-0.0005782250782250784,0.00202954516954517,-0.0005431228231228232,32
13,216.6313,23685.704299999998,1862.3229999999999,12538.1542,0.07409035830260269,-0.18071343961988084,0.41483126585639907,0.6087179501842623,0.8160118790373116,-0.011021411789667963,0.51417578848643,-0.31979553336470956,0.36183000000000004,4.825209999999999,1.3047800000000003,3.52912,0.29276330217429913,0.634864360237681,0.3998401575629941,0.28890521905981553,0.8091183765146591,0.13157237928249363,0.3064425861547495,0.08186324609529162,0.31,4.84,1.27,3.5500000000000003,0.0,3.1599999999999997,0.24,2.52,1.36,6.79,2.83,4.55,0.0006806806806806807,-0.00017017017017017098,0.00012012012012012023,-0.00046046046046046044,0.07955955955955958,0.18313313313313312,0.09211211211211212,0.08816816816816815,63.0,73.0,66.0,86.0,361.83000000000004,4825.209999999999,1304.7800000000002,3529.12,11.366321471759568,11.56419614829037,9.344371090862813,12.077061038934007,0.7812327654246394,1.1243206453783168,0.8705522339864272,1.2266152810756958,0.08777455234905052,0.03541060671834817,0.04718380165151448,0.011227803002677561,17.30309822061128,37.07760908329724,79.07034360836222,72.12626952169504,8.881048247276318,-30.857591416455755,76.54888456687067,-71.8878627159384,14.850056904324356,20.556219188092015,-19.80877355901618,5.859517834309461,1.686803660598341,1.4456590413384791,1.7317503689718883,1.3559047981675356,0.33274509418908144,0.4152732339286113,0.4921310636698184,0.5341710327397168,0.130770852008964,-0.0774189805942477,0.03251554928469022,-0.045498718652286364,0.2955848751248752,4.910256163836163,1.2822840759240761,3.551864735264735,0.0001326228726228726,-0.0001702625902625903,4.503688503688499e-05,-4.553500553500555e-05,36
